,claimHeadline,articleHeadline,articleHeadlineStance,articleId,claimId,url,source,claimTruth,claimCount,articleCount,sourceCount
583,Apple will launch a 4-inch iPhone in 2015,Sketchy Rumor Claims Apple Planning New 4-Inch iPhone for 2015,observing,9419b530-7ee9-11e4-8faa-9748b2fc07a1,f5293b30-7ee8-11e4-8faa-9748b2fc07a1,http://www.macrumors.com/2014/12/04/apple-4-inch-iphone-2015/,www.macrumors.com,unknown,87,584,9
587,Fox News is using FoxNewsPress to respond to Twitter users over the viral hashtag FoxNewsFacts,The FoxNewsPress Account Tweeting Lawsuit Threats Is a Fake,against,f5514440-9a81-11e4-bf59-1bb8b99952ce,ab7a1180-9a81-11e4-bf59-1bb8b99952ce,http://www.mediaite.com/online/the-foxnewspress-account-tweeting-lawsuit-threats-is-a-fake/,www.mediaite.com,FALSE,88,588,161
588,Fox News is using FoxNewsPress to respond to Twitter users over the viral hashtag FoxNewsFacts,No - a Fox News Twitter account isn't responding to tweets on the FoxNewsFacts hashtag,against,dd1f4430-9a81-11e4-bf59-1bb8b99952ce,ab7a1180-9a81-11e4-bf59-1bb8b99952ce,http://www.mirror.co.uk/news/weird-news/no---fox-news-twitter-4964516,www.mirror.co.uk,FALSE,88,589,7
598,Saudi Arabia's national airline will introduce gender segregation on flights,Saudi Arabia's national airline to introduce gender segregation after a string of complaints from male passengers,for,c5e0fc00-9478-11e4-b6bf-fdc8b7e3bcff,9bc3bc00-9478-11e4-b6bf-fdc8b7e3bcff,http://www.dailymail.co.uk/travel/travel_news/article-2894229/Saudi-Arabia-s-national-airline-introduce-gender-segregation-string-complaints-male-passengers.html,www.dailymail.co.uk,FALSE,90,599,4
603,Saudi Arabia's national airline will introduce gender segregation on flights,Saudi Arabia set to introduce gender segregation on national airline flights,for,da63f670-947b-11e4-b6bf-fdc8b7e3bcff,9bc3bc00-9478-11e4-b6bf-fdc8b7e3bcff,http://www.ibtimes.co.uk/saudi-arabia-set-introduce-gender-segregation-national-airline-flights-1481808,www.ibtimes.co.uk,FALSE,90,604,13
604,Saudi Arabia's national airline will introduce gender segregation on flights,"Saudi Arabia Airline Segregation: New Islamic Law Takes Flight On Airliner, Seating By Gender Coming Soon",for,ac4a3bd0-9478-11e4-b6bf-fdc8b7e3bcff,9bc3bc00-9478-11e4-b6bf-fdc8b7e3bcff,http://www.inquisitr.com/1721945/saudi-arabia-airline-segregation-new-islamic-law-takes-flight-on-airliner-seating-by-gender-coming-soon/,www.inquisitr.com,FALSE,90,605,124
605,Saudi Arabia's national airline will introduce gender segregation on flights,Saudi Airlines Sexist: Airline Intends To Enforce Rules To Separate Male And Female Passengers,for,b96f4120-9478-11e4-b6bf-fdc8b7e3bcff,9bc3bc00-9478-11e4-b6bf-fdc8b7e3bcff,http://www.inquisitr.com/1726286/saudi-airlines-sexist-airline-intends-to-enforce-rules-to-separate-male-and-female-passengers/,www.inquisitr.com,FALSE,90,606,124
606,Saudi Arabia's national airline will introduce gender segregation on flights,Saudi Arabian airline to separate genders after men complain about blokes sitting next to their wives,for,e8a91920-9478-11e4-b6bf-fdc8b7e3bcff,9bc3bc00-9478-11e4-b6bf-fdc8b7e3bcff,http://www.mirror.co.uk/news/world-news/saudi-arabian-airline-separate-genders-4908803,www.mirror.co.uk,FALSE,90,607,7
612,Canadian-Israeli Gill Rosenberg captured by ISIS while fighting with Kurdish forces,Canadian-Israeli Woman Says She Hasn't Been Captured By ISIS,against,50b18020-79bc-11e4-b794-93ed794d7b91,4d949950-78b7-11e4-b794-93ed794d7b91,http://www.buzzfeed.com/ellievhall/canadian-israeli-woman-says-she-hasnt-been-captured-by-isis,www.buzzfeed.com,FALSE,91,613,22
613,Canadian-Israeli Gill Rosenberg captured by ISIS while fighting with Kurdish forces,"Gill Rosenberg, Canadian citizen, reportedly captured by ISIS in Syria",observing,9168b8c0-78c4-11e4-b794-93ed794d7b91,4d949950-78b7-11e4-b794-93ed794d7b91,http://www.cbc.ca/m/news/canada/gill-rosenberg-canadian-citizen-reportedly-kidnapped-by-isis-in-syria-1.2855316,www.cbc.ca,FALSE,91,614,270
614,Canadian-Israeli Gill Rosenberg captured by ISIS while fighting with Kurdish forces,"Canadian woman captured by ISIS in Syria says she is actually fine and still fighting the jihadists, despite kidnap reports",against,a77066d0-7a19-11e4-b794-93ed794d7b91,4d949950-78b7-11e4-b794-93ed794d7b91,http://www.dailymail.co.uk/news/article-2856718/Canadian-woman-captured-ISIS-Syria-says-actually-fine-fighting-jihadists-despite-kidnap-reports.html,www.dailymail.co.uk,FALSE,91,615,4
619,Canadian-Israeli Gill Rosenberg captured by ISIS while fighting with Kurdish forces,"ISIS Claims It Kidnapped Gill Rosenberg, The First Western Woman To Fall Into The Group's Hands",observing,79e94ff0-78fd-11e4-b794-93ed794d7b91,4d949950-78b7-11e4-b794-93ed794d7b91,http://www.ibtimes.com/isis-claims-it-kidnapped-gill-rosenberg-first-western-woman-fall-groups-hands-1730941,www.ibtimes.com,FALSE,91,620,50
620,Canadian-Israeli Gill Rosenberg captured by ISIS while fighting with Kurdish forces,Israeli-Canadian Woman Captured By ISIS Says She Is Safe And Secure,against,d8bb5cd0-7a1f-11e4-b794-93ed794d7b91,4d949950-78b7-11e4-b794-93ed794d7b91,http://www.ibtimes.com/israeli-canadian-woman-captured-isis-says-she-safe-secure-1731736,www.ibtimes.com,FALSE,91,621,50
629,Canadian-Israeli Gill Rosenberg captured by ISIS while fighting with Kurdish forces,Ottawa investigates reports that Isis has captured Canadian-Israeli woman,observing,68d5ab50-78fd-11e4-b794-93ed794d7b91,4d949950-78b7-11e4-b794-93ed794d7b91,http://www.theguardian.com/world/2014/nov/30/isis-captured-canadian-israeli-woman-gill-rosenberg,www.theguardian.com,FALSE,91,630,30
640,The U.S. killed Ahmed Abdi Godane in an airstrike,Al-Shabab leader who ordered Kenya mall massacre believed killed in US drone attack in Somalia,observing,78937720-3555-11e4-ae63-d5574342724c,6c8728e0-3515-11e4-a3fd-07e9a9d397df,http://www.dailymail.co.uk/news/article-2740473/6-militants-killed-US-Somalia-strike.html,www.dailymail.co.uk,TRUE,92,641,4
641,The U.S. killed Ahmed Abdi Godane in an airstrike,US confirms death of Somalia terror group leader,for,87361bc0-3555-11e4-ae63-d5574342724c,6c8728e0-3515-11e4-a3fd-07e9a9d397df,http://www.dailymail.co.uk/wires/ap/article-2745292/Pentagon-confirms-death-Somalia-terror-leader.html,www.dailymail.co.uk,TRUE,92,642,4
643,The U.S. killed Ahmed Abdi Godane in an airstrike,U.S. airstrike kills Islamic Al Shabab terrorist leader in Somalia,for,d0b5e180-351a-11e4-a3fd-07e9a9d397df,6c8728e0-3515-11e4-a3fd-07e9a9d397df,http://www.nydailynews.com/news/world/u-s-airstrike-kills-islamic-extremist-leader-somalia-article-1.1929222,www.nydailynews.com,TRUE,92,644,14
645,The U.S. killed Ahmed Abdi Godane in an airstrike,Pentagon: death of al Shabaab leader in U.S. strike would be major blow,observing,c2a54080-3516-11e4-a3fd-07e9a9d397df,6c8728e0-3515-11e4-a3fd-07e9a9d397df,http://www.reuters.com/article/2014/09/02/us-somalia-usa-strike-pentagon-idUSKBN0GX2AS20140902,www.reuters.com,TRUE,92,646,250
646,The U.S. killed Ahmed Abdi Godane in an airstrike,Al-Shabaab leader Ahmed Abdi Godane killed by US air strike in Somalia,for,14b123e0-351b-11e4-a3fd-07e9a9d397df,6c8728e0-3515-11e4-a3fd-07e9a9d397df,http://www.theguardian.com/world/2014/sep/05/al-shabaab-leader-godane-killed-us-airstrike-somalia,www.theguardian.com,TRUE,92,647,30
648,The U.S. killed Ahmed Abdi Godane in an airstrike,White House confirms al-Shabab leader killed in airstrike in Somalia,for,d81bf450-351a-11e4-a3fd-07e9a9d397df,6c8728e0-3515-11e4-a3fd-07e9a9d397df,http://www.washingtonpost.com/world/national-security/pentagon-confirms-al-shabab-leader-killed-in-airstrike-in-somalia/2014/09/05/fc9fee06-3512-11e4-9e92-0899b306bbea_story.html,www.washingtonpost.com,TRUE,92,649,31
653,"The gold Apple Watch Edition will cost 9,999 USD","Gold Apple Watch Edition price? Speculators say at least 10,000",observing,a0ae3990-c2b1-11e4-8747-5b024dd6dd6c,56beb950-c2b0-11e4-8747-5b024dd6dd6c,http://www.ibtimes.co.uk/gold-apple-watch-edition-price-speculators-say-least-10000-1489243,www.ibtimes.co.uk,TRUE,95,654,13
655,"The gold Apple Watch Edition will cost 4,999 USD","The gold Apple Watch Edition could set you back a whopping 4,999",observing,cad365a0-c2ad-11e4-8747-5b024dd6dd6c,8ae82d40-c2ad-11e4-8747-5b024dd6dd6c,http://www.cultofmac.com/296255/gold-apple-watch-edition-set-back-whopping-4999/,www.cultofmac.com,FALSE,96,656,64
659,Man Sets College On Fire With Marriage Proposal,The Unluckiest Man In The World Set His College On Fire With A Fireworks Marriage Proposal,for,b6f7efe0-9ffa-11e4-a353-5b831fe927be,a1bee480-9ffa-11e4-a353-5b831fe927be,http://www.buzzfeed.com/ryanhatesthis/unluckiest-man-in-the-world-set-his-college-on-fire#.npE9EWl8N,www.buzzfeed.com,unknown,97,660,22
661,Man Sets College On Fire With Marriage Proposal,Blundering boyfriend burns down college after trying to impress his girlfriend with elaborate marriage proposal,for,bca8b190-9ffa-11e4-a353-5b831fe927be,a1bee480-9ffa-11e4-a353-5b831fe927be,http://www.mirror.co.uk/news/world-news/blundering-boyfriend-burns-down-college-4524842,www.mirror.co.uk,unknown,97,662,7
663,The group behind the Sony hack sent a message to company execs praising their decision to pull The Interview,"HACKERS TO SONY: If You Make Any More Trouble, We'll Destroy You",for,48e84d80-8798-11e4-a13d-d9bce527941d,9e769320-8797-11e4-a13d-d9bce527941d,http://www.businessinsider.com/hackers-to-sony-if-you-make-any-more-trouble-well-destroy-you-2014-12,www.businessinsider.com,unknown,98,664,39
664,The group behind the Sony hack sent a message to company execs praising their decision to pull The Interview,"Hackers tell Sony wise to cancel film, don't make more trouble -CNN",observing,2f93ed80-8798-11e4-a13d-d9bce527941d,9e769320-8797-11e4-a13d-d9bce527941d,http://www.dailymail.co.uk/wires/reuters/article-2880788/Hackers-tell-Sony-wise-cancel-film-dont-make-trouble-CNN.html,www.dailymail.co.uk,unknown,98,665,4
673,"Protestors in Hong Kong adopted Hands up, don't shoot from Ferguson",Hong Kong riot cops forced to withdraw after democracy protesters copy Don't shoot gesture used by US demonstrators after a police officer shot an unarmed black teenager,for,a7570830-47e1-11e4-9960-a165dd517bbb,840a03a0-47e1-11e4-9960-a165dd517bbb,http://www.dailymail.co.uk/news/article-2773343/Beijing-bans-Instagram-mainland-China-bid-quell-Hong-Kong-pro-democracy-uprising-riot-police-withdraw-following-criticism-tear-gas-tactics.html,www.dailymail.co.uk,unknown,99,674,4
684,ISIS hostage Alan Henning found innocent by Sharia court,Unconfirmed Reports Say U.K. Hostage Held By ISIS Found Innocent By Sharia Court,observing,ed37c500-4413-11e4-94c0-515d9d816ec6,eb242740-4413-11e4-94c0-515d9d816ec6,http://www.buzzfeed.com/ellievhall/unconfirmed-reports-say-uk-hostage-held-by-isis-found-innoce?utm_term=4j9w27#4mjqmp,www.buzzfeed.com,unknown,101,685,22
694,A N.Y. high schooler earned 72 million in the stock market,"New York schoolboy made 72million trading stocks on his lunch breaks - and now takes his friends out to dine on 400 caviar, drives a BMW and has definitely made his immigrant parents proud",observing,1dd1e810-8485-11e4-b1b5-4f1bd36cbfc6,3e930710-8484-11e4-b1b5-4f1bd36cbfc6,http://www.dailymail.co.uk/news/article-2873411/New-York-high-school-student-17-makes-72MILLION-trading-stocks-lunch-breaks.html,www.dailymail.co.uk,FALSE,102,695,4
695,A N.Y. high schooler earned 72 million in the stock market,NYC High School Student Nicknamed Teen Wolf Made 72 Million On Stock Market,for,24b53650-8485-11e4-b1b5-4f1bd36cbfc6,3e930710-8484-11e4-b1b5-4f1bd36cbfc6,http://www.inquisitr.com/1680073/nyc-high-school-student-nicknamed-teen-wolf-made-72-million-on-stock-market/,www.inquisitr.com,FALSE,102,696,124
706,YouTube star Josh Paler Lin gave a homeless man 100 and filmed how he spent it without the man's knowledge,"Homeless man who became a YouTube sensation after spending 100 on food for his beggar friends gets a surprise Christmas meal, makeover and night in a hotel in new video... but is it all a hoax by a serial prankster'?",observing,4d093cd0-921f-11e4-9799-c7e75be2bcad,557a4c70-921e-11e4-9799-c7e75be2bcad,http://www.dailymail.co.uk/news/article-2890864/Homeless-man-YouTube-sensation-spending-100-food-beggar-friends-gets-surprise-Christmas-meal-makeover-night-hotel-new-video-hoax-serial-prankster.html,www.dailymail.co.uk,unknown,103,707,4
707,YouTube star Josh Paler Lin gave a homeless man 100 and filmed how he spent it without the man's knowledge,Homeless man who received a meal and hotel stay after spending 100 donation on food for friends insists it was NOT a hoax despite new witness insisting there was no way he could have been secretly filmed,observing,415699f0-9224-11e4-9799-c7e75be2bcad,557a4c70-921e-11e4-9799-c7e75be2bcad,http://www.dailymail.co.uk/news/article-2892216/It-s-surprise-Homeless-man-received-meal-makeover-hotel-stay-spending-100-donation-food-beggar-friends-insists-NOT-hoax.html,www.dailymail.co.uk,unknown,103,708,4
710,YouTube star Josh Paler Lin gave a homeless man 100 and filmed how he spent it without the man's knowledge,"See How This Homeless Man Spends A Hundred Dollars, And Keep A Tissue Handy Video",for,3b135910-9220-11e4-9799-c7e75be2bcad,557a4c70-921e-11e4-9799-c7e75be2bcad,http://www.inquisitr.com/1699830/homeless-man-hundred-dollars-josh-paler-lin/,www.inquisitr.com,unknown,103,711,124
711,YouTube star Josh Paler Lin gave a homeless man 100 and filmed how he spent it without the man's knowledge,"Viral Video Of Homeless Man Spending 100 On Food For Other Homeless Was Faked, Witness Says",against,536ab0e0-921f-11e4-9799-c7e75be2bcad,557a4c70-921e-11e4-9799-c7e75be2bcad,http://www.inquisitr.com/1718260/vira-video-homeless-faked/,www.inquisitr.com,unknown,103,712,124
713,YouTube star Josh Paler Lin gave a homeless man 100 and filmed how he spent it without the man's knowledge,SEE IT: California homeless man uses 100 gift to give food to others,for,bb56bfa0-9224-11e4-9799-c7e75be2bcad,557a4c70-921e-11e4-9799-c7e75be2bcad,http://www.nydailynews.com/news/national/homeless-man-100-caught-camera-giving-food-article-1.2055713,www.nydailynews.com,unknown,103,714,14
724,Claim Hewlett-Packard will split itself into two separate companies,Hewlett-Packard to split into two companies,for,6275b080-4d50-11e4-949b-f14041b20838,2b11bc30-4cbd-11e4-949b-f14041b20838,http://www.bbc.com/news/business-29501235,www.bbc.com,TRUE,104,725,21
726,Claim Hewlett-Packard will split itself into two separate companies,IT'S OFFICIAL: HP Is Splitting Into 2 Separate Businesses,for,60090010-4cbd-11e4-949b-f14041b20838,2b11bc30-4cbd-11e4-949b-f14041b20838,http://www.businessinsider.com/hp-is-planning-to-split-2014-10,www.businessinsider.com,TRUE,104,727,39
727,Claim Hewlett-Packard will split itself into two separate companies,Hewlett-Packard Plans To Split Into Two Companies: WSJ Report,for,ae813230-4cbd-11e4-949b-f14041b20838,2b11bc30-4cbd-11e4-949b-f14041b20838,http://www.businessinsider.com/r-hewlett-packard-plans-to-split-into-two-companies-wsj-report-2014-10,www.businessinsider.com,TRUE,104,728,39
731,Claim Hewlett-Packard will split itself into two separate companies,Hewlett-Packard to split in 2 companies,for,79cf3080-4cc4-11e4-949b-f14041b20838,2b11bc30-4cbd-11e4-949b-f14041b20838,http://www.dailymail.co.uk/wires/ap/article-2781482/Hewlett-Packard-split-2-companies.html,www.dailymail.co.uk,TRUE,104,732,4
732,Claim Hewlett-Packard will split itself into two separate companies,"Hewlett-Packard splits off PC, printer businesses",for,1a4bff50-4d53-11e4-949b-f14041b20838,2b11bc30-4cbd-11e4-949b-f14041b20838,http://www.dailymail.co.uk/wires/ap/article-2782118/Hewlett-Packard-splits-PC-printer-businesses.html,www.dailymail.co.uk,TRUE,104,733,4
733,Claim Hewlett-Packard will split itself into two separate companies,"Hewlett-Packard to split into two public companies, lay off 5,000",for,15101f80-4d53-11e4-949b-f14041b20838,2b11bc30-4cbd-11e4-949b-f14041b20838,http://www.dailymail.co.uk/wires/reuters/article-2782141/Hewlett-Packard-says-split-two.html,www.dailymail.co.uk,TRUE,104,734,4
736,Claim Hewlett-Packard will split itself into two separate companies,Sorry - this page has been removed.,observing,6d814bb0-4d50-11e4-949b-f14041b20838,2b11bc30-4cbd-11e4-949b-f14041b20838,http://www.theguardian.com/business/2014/oct/06/hewlett-packard-split-into-two,www.theguardian.com,TRUE,104,737,30
742,Playboy founder Hugh Hefner is dead,"Rumours of my death are greatly exaggerated: Relax ladies, Hugh Hefner is alive and kicking",against,d0be3830-8f6a-11e4-9799-c7e75be2bcad,9e2461c0-8f69-11e4-9799-c7e75be2bcad,http://www.dailymail.co.uk/news/article-2014026/Hugh-Hefner-dead-Rumours-death-greatly-exaggerated.html,www.dailymail.co.uk,FALSE,105,743,4
744,Playboy founder Hugh Hefner is dead,Hugh Hefner Found Dead But Still Makes It To Family Movie Night,against,87609e10-8f71-11e4-9799-c7e75be2bcad,9e2461c0-8f69-11e4-9799-c7e75be2bcad,http://www.inquisitr.com/1712933/hugh-hefner-found-dead-but-still-makes-it-to-family-movie-night/,www.inquisitr.com,FALSE,105,745,124
746,"There will be 100,000 or more Apple Watch Apps in the AppStore by April 10","Wildest Apple Watch rumor yet: 100,000 apps at launch",observing,4760a610-c1c2-11e4-8747-5b024dd6dd6c,9def6130-c1c0-11e4-8747-5b024dd6dd6c,http://www.cultofmac.com/313291/wildest-apple-watch-rumor-yet-100000-apps-launch/,www.cultofmac.com,unknown,106,747,64
749,A crowd chopped off a man's penis after he was caught trying to rape a woman,Lynch mob use butcher's meat cleaver to castrate rapist they caught attacking teenage girl in alleyway in Indian city,for,3eb9c780-a4c6-11e4-aa4f-ff16e52e0d56,9ad13f60-a4c3-11e4-aa4f-ff16e52e0d56,http://www.dailymail.co.uk/news/article-2787752/Lynch-mob-use-butcher-s-meat-cleaver-castrate-rapist-caught-attacking-teenage-girl-alleyway-Indian-city.html,www.dailymail.co.uk,unknown,107,750,4
754,A crowd chopped off a man's penis after he was caught trying to rape a woman,"Rajasthan: Man Tries to Rape Teenager, Angry Mob Chops His Penis Off",for,569d6400-a4c7-11e4-aa4f-ff16e52e0d56,9ad13f60-a4c3-11e4-aa4f-ff16e52e0d56,http://www.ibtimes.co.in/rajasthan-man-tries-rape-teenager-angry-mob-chops-his-penis-off-611116,www.ibtimes.co.in,unknown,107,755,12
755,A crowd chopped off a man's penis after he was caught trying to rape a woman,India Rape Crisis Sees Mob Castrate Alleged Sex Attacker in Shocking Scenes,for,23793d00-a4c8-11e4-aa4f-ff16e52e0d56,9ad13f60-a4c3-11e4-aa4f-ff16e52e0d56,http://www.ibtimes.co.uk/india-rape-crisis-sees-mob-castrate-alleged-sex-attacker-shocking-scenes-1469424,www.ibtimes.co.uk,unknown,107,756,13
759,A crowd chopped off a man's penis after he was caught trying to rape a woman,Angry mob hacks off alleged rapist's genitals with meat cleaver after dragging him into butchers,for,c3197bd0-a4c4-11e4-aa4f-ff16e52e0d56,9ad13f60-a4c3-11e4-aa4f-ff16e52e0d56,http://www.mirror.co.uk/news/world-news/angry-mob-hacks-alleged-rapists-4413312,www.mirror.co.uk,unknown,107,760,7
769,Reset All Settings option in iOS 8 deletes iWork files,A New iOS 8 Bug Can Delete All Of Your iCloud Documents,for,92c0c110-48d4-11e4-9960-a165dd517bbb,d049ff80-48d2-11e4-9960-a165dd517bbb,http://www.businessinsider.com/ios-8-bug-deletes-icloud-drive-documents-2014-9,www.businessinsider.com,unknown,109,770,39
771,Reset All Settings option in iOS 8 deletes iWork files,Don't Reset All Settings in iOS 8 unless you want to lose your iCloud files,for,9674bdd0-48d3-11e4-9960-a165dd517bbb,d049ff80-48d2-11e4-9960-a165dd517bbb,http://www.cultofmac.com/298205/dont-restore-settings-ios-8-unless-want-lose-icloud-files/,www.cultofmac.com,unknown,109,772,64
772,Reset All Settings option in iOS 8 deletes iWork files,Bug in iOS 8's Reset All Settings Option Also Erases iCloud Drive Documents,for,d58da780-48d2-11e4-9960-a165dd517bbb,d049ff80-48d2-11e4-9960-a165dd517bbb,http://www.macrumors.com/2014/09/29/reset-all-settings-icloud-drive-bug/,www.macrumors.com,unknown,109,773,9
782,The iPhone 6s will have a dual-lens camera,We're Getting More Detail On The Amazing New Camera Apple Is Planning For The Next iPhone,for,27dbc940-9fe5-11e4-a353-5b831fe927be,81e40500-9dc5-11e4-a353-5b831fe927be,http://www.businessinsider.com/iphone-camera-may-finally-have-optical-zoom-2015-1,www.businessinsider.com,unknown,111,783,39
783,The iPhone 6s will have a dual-lens camera,"Crystal Baller: Dual-lens iPhone 6s, ARM-based Macs and 6 more crazy Apple rumors",observing,ca4b7460-9fe4-11e4-a353-5b831fe927be,81e40500-9dc5-11e4-a353-5b831fe927be,http://www.cultofmac.com/309236/crystal-baller-dual-lens-iphone-6s-arm-based-macs-6-crazy-apple-rumors/,www.cultofmac.com,unknown,111,784,64
784,The iPhone 6s will have a dual-lens camera,"iPhone 6s To Have DSLR-Quality Camera? Rumors Suggest Dual-Lens Camera, Apple Watch Force Touch Feature",observing,cecd5cf0-9dc9-11e4-a353-5b831fe927be,81e40500-9dc5-11e4-a353-5b831fe927be,http://www.ibtimes.com/iphone-6s-have-dslr-quality-camera-rumors-suggest-dual-lens-camera-apple-watch-force-1783936,www.ibtimes.com,unknown,111,785,50
785,The iPhone 6s will have a dual-lens camera,iPhone 6s Rumored to Include 2GB of Faster RAM and Force Touch Technology,observing,e553cfe0-9dc9-11e4-a353-5b831fe927be,81e40500-9dc5-11e4-a353-5b831fe927be,http://www.macrumors.com/2015/01/15/iphone-6s-2gb-ram-force-touch/,www.macrumors.com,unknown,111,786,9
795,The iPhone 6 pulls out facial hair when being used,HairGate: iPhone 6 Customers Are Complaining That The Phone Is Ripping Out Their Hair,observing,386d3be0-4e5f-11e4-949b-f14041b20838,ce44add0-4e5d-11e4-949b-f14041b20838,http://www.businessinsider.com/hairgate-iphone-6-customers-complaining-the-phone-is-ripping-out-their-hair-2014-10,www.businessinsider.com,unknown,112,796,39
796,The iPhone 6 pulls out facial hair when being used,"Hairgate: Reports of iPhone 6 pulling out hair, beards, likely exaggerated",against,a7bb18e0-4e7e-11e4-949b-f14041b20838,ce44add0-4e5d-11e4-949b-f14041b20838,http://www.cbc.ca/newsblogs/yourcommunity/2014/10/hairgate-reports-of-iphone-6-pulling-out-hair-beards-likely-exaggerated.html,www.cbc.ca,unknown,112,797,270
798,The iPhone 6 pulls out facial hair when being used,First bendgate... now it's HAIRGATE: Angry iPhone 6 owners claim design is causing chunks of their hair to be ripped out when they make a phone call,observing,637b6b90-4e5f-11e4-949b-f14041b20838,ce44add0-4e5d-11e4-949b-f14041b20838,http://www.dailymail.co.uk/news/article-2783051/First-bendgate-s-HAIRGATE-iPhone-6-owners-claim-design-causing-chunks-hair-ripped-make-phone-call.html,www.dailymail.co.uk,unknown,112,799,4
800,The iPhone 6 pulls out facial hair when being used,Hairgate: iPhone hit by new social media storm,observing,d6d8e060-4e5d-11e4-949b-f14041b20838,ce44add0-4e5d-11e4-949b-f14041b20838,http://www.reuters.com/article/2014/10/07/us-apple-iphone-hair-idUSKCN0HW1MA20141007,www.reuters.com,unknown,112,801,250
816,ISIS captured a U.S. airdrop of weapons intended for Kurdish fighters,ISIS Claims To Have Captured US Airdrop Weapons,observing,e3ef9b10-5964-11e4-aaf5-a1ddcfbcd5a9,dfc3a4a0-5964-11e4-aaf5-a1ddcfbcd5a9,http://www.businessinsider.com/isis-claims-to-have-captured-us-airdrop-weapons-2014-10,www.businessinsider.com,TRUE,114,817,39
819,ISIS captured a U.S. airdrop of weapons intended for Kurdish fighters,US to investigate video showing ISIS with weapons drop meant for Kurdish fighters,for,0be42eb0-5965-11e4-aaf5-a1ddcfbcd5a9,dfc3a4a0-5964-11e4-aaf5-a1ddcfbcd5a9,http://www.dailymail.co.uk/news/article-2802121/we-airdrop-isis-taunts-america-fanatics-claim-intercepted-weapons-meant-kurds.html,www.dailymail.co.uk,TRUE,114,820,4
820,ISIS captured a U.S. airdrop of weapons intended for Kurdish fighters,Turkish president says American weapons drop for Kurdish fighters was wrong after supplies end up in the hands of ISIS,for,4953d290-6604-11e4-8b87-d71b609d189b,dfc3a4a0-5964-11e4-aaf5-a1ddcfbcd5a9,http://www.dailymail.co.uk/news/article-2803410/Turkish-president-says-American-weapons-drop-Kurdish-fighters-wrong-supplies-end-hands-ISIS-fighters.html,www.dailymail.co.uk,TRUE,114,821,4
821,ISIS captured a U.S. airdrop of weapons intended for Kurdish fighters,US probing claims ISIS fighters seized airdropped weapons meant for Kurds,observing,167c6ea0-5965-11e4-aaf5-a1ddcfbcd5a9,dfc3a4a0-5964-11e4-aaf5-a1ddcfbcd5a9,http://www.foxnews.com/politics/2014/10/21/us-probing-claims-isis-fighters-seized-airdropped-weapons-meant-for-kurds/,www.foxnews.com,TRUE,114,822,123
822,ISIS captured a U.S. airdrop of weapons intended for Kurdish fighters,New ISIS Video Shows Militants Seizing Weapons Airdropped By US Near Kobani,for,bba8d970-5a0c-11e4-aaf5-a1ddcfbcd5a9,dfc3a4a0-5964-11e4-aaf5-a1ddcfbcd5a9,http://www.ibtimes.com/new-isis-video-shows-militants-seizing-weapons-airdropped-us-near-kobani-1709537,www.ibtimes.com,TRUE,114,823,50
823,ISIS captured a U.S. airdrop of weapons intended for Kurdish fighters,Isis Syria News: Video Shows US Airdropped Weapons and Grenades Captured by Islamic State,observing,e8ab0040-5964-11e4-aaf5-a1ddcfbcd5a9,dfc3a4a0-5964-11e4-aaf5-a1ddcfbcd5a9,http://www.ibtimes.co.uk/isis-syria-news-video-shows-us-airdropped-weapons-grenades-captured-by-islamic-state-1471097,www.ibtimes.co.uk,TRUE,114,824,13
830,ISIS captured a U.S. airdrop of weapons intended for Kurdish fighters,Isis apparently takes control of US weapons airdrop intended for Kurds,for,7dbf6480-5a0c-11e4-aaf5-a1ddcfbcd5a9,dfc3a4a0-5964-11e4-aaf5-a1ddcfbcd5a9,http://www.theguardian.com/world/2014/oct/22/isis-us-airdrop-weapons-pentagon,www.theguardian.com,TRUE,114,831,30
831,ISIS captured a U.S. airdrop of weapons intended for Kurdish fighters,"U.S. accidentally delivered weapons to the Islamic State by airdrop, militants say",observing,8557f900-5a0c-11e4-aaf5-a1ddcfbcd5a9,dfc3a4a0-5964-11e4-aaf5-a1ddcfbcd5a9,http://www.washingtonpost.com/news/checkpoint/wp/2014/10/21/u-s-accidentally-delivered-weapons-to-the-islamic-state-by-airdrop-militants-allege/,www.washingtonpost.com,TRUE,114,832,31
832,ISIS captured a U.S. airdrop of weapons intended for Kurdish fighters,An accidental delivery of arms to the Islamic State and the problem with airdrops,for,c2f15080-7065-11e4-8e10-b9c720c188ba,dfc3a4a0-5964-11e4-aaf5-a1ddcfbcd5a9,http://www.washingtonpost.com/news/morning-mix/wp/2014/10/22/an-accidental-delivery-of-arms-to-the-islamic-state-and-the-problem-with-airdrops/,www.washingtonpost.com,TRUE,114,833,31
835,ISIS is a mile away from Baghdad,ISIS fighters now at the gates of Baghdad: Islamic militants fighting just one mile from Iraqi capital despite days Western airstrikes,observing,9f6dc630-47e2-11e4-9960-a165dd517bbb,633ed280-47e2-11e4-9960-a165dd517bbb,http://www.dailymail.co.uk/news/article-2773268/ISIS-militants-fighting-Iraqi-government-forces-just-six-miles-Baghdad-despite-Western-airstrikes-against-terror-group.html?ito=social-twitter_mailonline,www.dailymail.co.uk,unknown,115,836,4
